,value,min,max,dsc,sym,dev,timestamp
1,989.3719775223046,300,1100,Barometer,hPa,BME680,1614593245.990243
2,25.98887199571718,0,100,Hygrometer,%,BME680,1614593245.990243
3,340.009,300000,1100000,VOC,KOhm,BME680,1614593245.990243
0,28.3596875,-40,85,Thermometer,°c,BME680,1614593306.9302397
1,989.3840412623181,300,1100,Barometer,hPa,BME680,1614593306.9302397
2,25.95893895873515,0,100,Hygrometer,%,BME680,1614593306.9302397
3,339.015,300000,1100000,VOC,KOhm,BME680,1614593306.9302397
0,28.3997265625,-40,85,Thermometer,°c,BME680,1614593367.8302674
1,989.4046080214213,300,1100,Barometer,hPa,BME680,1614593367.8302674
2,25.91248307828462,0,100,Hygrometer,%,BME680,1614593367.8302674
3,342.015,300000,1100000,VOC,KOhm,BME680,1614593367.8302674
0,28.4321484375,-40,85,Thermometer,°c,BME680,1614593428.7670972
1,989.4008662914298,300,1100,Barometer,hPa,BME680,1614593428.7670972
2,25.920478477902755,0,100,Hygrometer,%,BME680,1614593428.7670972
3,339.677,300000,1100000,VOC,KOhm,BME680,1614593428.7670972
0,28.473359375,-40,85,Thermometer,°c,BME680,1614593489.6975
1,989.4162107196128,300,1100,Barometer,hPa,BME680,1614593489.6975
2,25.857611160436345,0,100,Hygrometer,%,BME680,1614593489.6975
3,337.698,300000,1100000,VOC,KOhm,BME680,1614593489.6975
0,28.5255078125,-40,85,Thermometer,°c,BME680,1614593550.5802808
1,989.4381436446243,300,1100,Barometer,hPa,BME680,1614593550.5802808
2,25.83960628517172,0,100,Hygrometer,%,BME680,1614593550.5802808
3,338.355,300000,1100000,VOC,KOhm,BME680,1614593550.5802808
0,28.60734375,-40,85,Thermometer,°c,BME680,1614593611.576746
1,989.4784642196497,300,1100,Barometer,hPa,BME680,1614593611.576746
2,25.675412336294958,0,100,Hygrometer,%,BME680,1614593611.576746
3,339.677,300000,1100000,VOC,KOhm,BME680,1614593611.576746
0,28.6411328125,-40,85,Thermometer,°c,BME680,1614593672.5229635
1,989.519171749739,300,1100,Barometer,hPa,BME680,1614593672.5229635
2,25.57909687977829,0,100,Hygrometer,%,BME680,1614593672.5229635
3,339.677,300000,1100000,VOC,KOhm,BME680,1614593672.5229635
0,28.6596875,-40,85,Thermometer,°c,BME680,1614593733.4202244
1,989.5465414331846,300,1100,Barometer,hPa,BME680,1614593733.4202244
2,25.679409780989534,0,100,Hygrometer,%,BME680,1614593733.4202244
3,339.677,300000,1100000,VOC,KOhm,BME680,1614593733.4202244
0,28.663984375,-40,85,Thermometer,°c,BME680,1614593794.330215
1,989.5585795918371,300,1100,Barometer,hPa,BME680,1614593794.330215
2,25.63027825384498,0,100,Hygrometer,%,BME680,1614593794.330215
3,341.009,300000,1100000,VOC,KOhm,BME680,1614593794.330215
0,28.6622265625,-40,85,Thermometer,°c,BME680,1614593855.2635472
1,989.5716938369121,300,1100,Barometer,hPa,BME680,1614593855.2635472
2,25.646628699668284,0,100,Hygrometer,%,BME680,1614593855.2635472
3,339.015,300000,1100000,VOC,KOhm,BME680,1614593855.2635472
0,28.6551953125,-40,85,Thermometer,°c,BME680,1614593916.190596
1,989.6047482952364,300,1100,Barometer,hPa,BME680,1614593916.190596
2,25.662578409852323,0,100,Hygrometer,%,BME680,1614593916.190596
3,339.345,300000,1100000,VOC,KOhm,BME680,1614593916.190596
0,28.6372265625,-40,85,Thermometer,°c,BME680,1614593977.1102896
1,989.6312090248093,300,1100,Barometer,hPa,BME680,1614593977.1102896
2,25.683190483648985,0,100,Hygrometer,%,BME680,1614593977.1102896
3,339.345,300000,1100000,VOC,KOhm,BME680,1614593977.1102896
0,28.6208203125,-40,85,Thermometer,°c,BME680,1614594038.032609
1,989.6654117157631,300,1100,Barometer,hPa,BME680,1614594038.032609
2,25.709420927672422,0,100,Hygrometer,%,BME680,1614594038.032609
3,336.391,300000,1100000,VOC,KOhm,BME680,1614594038.032609
0,28.6012890625,-40,85,Thermometer,°c,BME680,1614594098.9602425
1,989.698230981283,300,1100,Barometer,hPa,BME680,1614594098.9602425
2,25.69143804332446,0,100,Hygrometer,%,BME680,1614594098.9602425
3,336.066,300000,1100000,VOC,KOhm,BME680,1614594098.9602425
0,28.5758984375,-40,85,Thermometer,°c,BME680,1614594159.8915026
1,989.7341889460056,300,1100,Barometer,hPa,BME680,1614594159.8915026
2,25.694994832903607,0,100,Hygrometer,%,BME680,1614594159.8915026
3,338.355,300000,1100000,VOC,KOhm,BME680,1614594159.8915026
0,28.5596875,-40,85,Thermometer,°c,BME680,1614594220.770533
1,989.7422350907614,300,1100,Barometer,hPa,BME680,1614594220.770533
2,25.693756690983868,0,100,Hygrometer,%,BME680,1614594220.770533
3,336.717,300000,1100000,VOC,KOhm,BME680,1614594220.770533
0,28.5395703125,-40,85,Thermometer,°c,BME680,1614594281.976744
1,989.7476710773672,300,1100,Barometer,hPa,BME680,1614594281.976744
2,25.697716263881716,0,100,Hygrometer,%,BME680,1614594281.976744
3,337.698,300000,1100000,VOC,KOhm,BME680,1614594281.976744
0,28.519453125,-40,85,Thermometer,°c,BME680,1614594342.920497
1,989.776029471268,300,1100,Barometer,hPa,BME680,1614594342.920497
2,25.71266793355958,0,100,Hygrometer,%,BME680,1614594342.920497
3,339.677,300000,1100000,VOC,KOhm,BME680,1614594342.920497
0,28.498359375,-40,85,Thermometer,°c,BME680,1614594403.8302522
1,989.8275374445747,300,1100,Barometer,hPa,BME680,1614594403.8302522
2,25.738539368036005,0,100,Hygrometer,%,BME680,1614594403.8302522
3,338.684,300000,1100000,VOC,KOhm,BME680,1614594403.8302522
0,28.48234375,-40,85,Thermometer,°c,BME680,1614594464.769234
1,989.857041471166,300,1100,Barometer,hPa,BME680,1614594464.769234
2,25.74830926181887,0,100,Hygrometer,%,BME680,1614594464.769234
3,337.37,300000,1100000,VOC,KOhm,BME680,1614594464.769234
0,28.46359375,-40,85,Thermometer,°c,BME680,1614594525.6817405
1,989.8857735642641,300,1100,Barometer,hPa,BME680,1614594525.6817405
2,25.757870205749146,0,100,Hygrometer,%,BME680,1614594525.6817405
3,339.015,300000,1100000,VOC,KOhm,BME680,1614594525.6817405
0,28.436640625,-40,85,Thermometer,°c,BME680,1614594586.6921823
1,989.9121932595181,300,1100,Barometer,hPa,BME680,1614594586.6921823
2,25.794294506257458,0,100,Hygrometer,%,BME680,1614594586.6921823
3,337.698,300000,1100000,VOC,KOhm,BME680,1614594586.6921823
0,28.411640625,-40,85,Thermometer,°c,BME680,1614594647.5802355
1,989.952255249803,300,1100,Barometer,hPa,BME680,1614594647.5802355
2,25.836374721881683,0,100,Hygrometer,%,BME680,1614594647.5802355
3,339.345,300000,1100000,VOC,KOhm,BME680,1614594647.5802355
0,28.3934765625,-40,85,Thermometer,°c,BME680,1614594708.5157828
1,990.0065795872629,300,1100,Barometer,hPa,BME680,1614594708.5157828
2,25.82398315991523,0,100,Hygrometer,%,BME680,1614594708.5157828
3,336.391,300000,1100000,VOC,KOhm,BME680,1614594708.5157828
0,28.378046875,-40,85,Thermometer,°c,BME680,1614594769.4466164
1,990.066959688703,300,1100,Barometer,hPa,BME680,1614594769.4466164
2,25.82280113651984,0,100,Hygrometer,%,BME680,1614594769.4466164
3,337.37,300000,1100000,VOC,KOhm,BME680,1614594769.4466164
0,28.3587109375,-40,85,Thermometer,°c,BME680,1614594830.330342
1,990.1264856228222,300,1100,Barometer,hPa,BME680,1614594830.330342
2,25.826819182923323,0,100,Hygrometer,%,BME680,1614594830.330342
3,336.066,300000,1100000,VOC,KOhm,BME680,1614594830.330342
0,28.3471875,-40,85,Thermometer,°c,BME680,1614594891.2022657
1,990.1753675095633,300,1100,Barometer,hPa,BME680,1614594891.2022657
2,25.809440474636478,0,100,Hygrometer,%,BME680,1614594891.2022657
3,339.345,300000,1100000,VOC,KOhm,BME680,1614594891.2022657
0,28.32765625,-40,85,Thermometer,°c,BME680,1614594952.1402276
1,990.2204744536756,300,1100,Barometer,hPa,BME680,1614594952.1402276
2,25.84093795702617,0,100,Hygrometer,%,BME680,1614594952.1402276
3,339.015,300000,1100000,VOC,KOhm,BME680,1614594952.1402276
0,28.315546875,-40,85,Thermometer,°c,BME680,1614595013.020238
1,990.2402234886655,300,1100,Barometer,hPa,BME680,1614595013.020238
2,25.823513457705253,0,100,Hygrometer,%,BME680,1614595013.020238
3,339.677,300000,1100000,VOC,KOhm,BME680,1614595013.020238
0,28.30578125,-40,85,Thermometer,°c,BME680,1614595073.9311278
1,990.2601297812898,300,1100,Barometer,hPa,BME680,1614595073.9311278
2,25.80077377808634,0,100,Hygrometer,%,BME680,1614595073.9311278
3,336.717,300000,1100000,VOC,KOhm,BME680,1614595073.9311278
0,28.2878125,-40,85,Thermometer,°c,BME680,1614595134.8302166
1,990.2759534682928,300,1100,Barometer,hPa,BME680,1614595134.8302166
2,25.8488838754675,0,100,Hygrometer,%,BME680,1614595134.8302166
3,338.684,300000,1100000,VOC,KOhm,BME680,1614595134.8302166
0,28.2665234375,-40,85,Thermometer,°c,BME680,1614595195.7393508
1,990.2953687196856,300,1100,Barometer,hPa,BME680,1614595195.7393508
2,25.87475073386662,0,100,Hygrometer,%,BME680,1614595195.7393508
3,340.009,300000,1100000,VOC,KOhm,BME680,1614595195.7393508
0,28.2497265625,-40,85,Thermometer,°c,BME680,1614595256.9641218
1,990.3359450160142,300,1100,Barometer,hPa,BME680,1614595256.9641218
2,25.895464321297695,0,100,Hygrometer,%,BME680,1614595256.9641218
3,338.355,300000,1100000,VOC,KOhm,BME680,1614595256.9641218
0,28.2286328125,-40,85,Thermometer,°c,BME680,1614595317.913713
1,990.3609486164141,300,1100,Barometer,hPa,BME680,1614595317.913713
2,25.94886230759205,0,100,Hygrometer,%,BME680,1614595317.913713
3,337.698,300000,1100000,VOC,KOhm,BME680,1614595317.913713
0,28.235859375,-40,85,Thermometer,°c,BME680,1614595378.830243
1,990.3846497608398,300,1100,Barometer,hPa,BME680,1614595378.830243
2,25.861401041431733,0,100,Hygrometer,%,BME680,1614595378.830243
3,340.009,300000,1100000,VOC,KOhm,BME680,1614595378.830243
0,28.271796875,-40,85,Thermometer,°c,BME680,1614595439.7658122
1,990.402374686973,300,1100,Barometer,hPa,BME680,1614595439.7658122
2,25.809168783514025,0,100,Hygrometer,%,BME680,1614595439.7658122
3,340.342,300000,1100000,VOC,KOhm,BME680,1614595439.7658122
0,28.3231640625,-40,85,Thermometer,°c,BME680,1614595500.6686184
1,990.4302519095389,300,1100,Barometer,hPa,BME680,1614595500.6686184
2,25.736146399674837,0,100,Hygrometer,%,BME680,1614595500.6686184
3,337.37,300000,1100000,VOC,KOhm,BME680,1614595500.6686184
0,28.3766796875,-40,85,Thermometer,°c,BME680,1614595561.7242935
1,990.4597366329244,300,1100,Barometer,hPa,BME680,1614595561.7242935
2,25.630360962680047,0,100,Hygrometer,%,BME680,1614595561.7242935
3,339.677,300000,1100000,VOC,KOhm,BME680,1614595561.7242935
0,28.4294140625,-40,85,Thermometer,°c,BME680,1614595622.6321938
1,990.4862222205172,300,1100,Barometer,hPa,BME680,1614595622.6321938
2,25.628883602659123,0,100,Hygrometer,%,BME680,1614595622.6321938
3,340.009,300000,1100000,VOC,KOhm,BME680,1614595622.6321938
0,28.4766796875,-40,85,Thermometer,°c,BME680,1614595683.5302403
1,990.5093927767314,300,1100,Barometer,hPa,BME680,1614595683.5302403
2,25.70940082296706,0,100,Hygrometer,%,BME680,1614595683.5302403
3,339.015,300000,1100000,VOC,KOhm,BME680,1614595683.5302403
0,28.514765625,-40,85,Thermometer,°c,BME680,1614595744.4661474
1,990.5198898402106,300,1100,Barometer,hPa,BME680,1614595744.4661474
